"OPLEIDINGSNAAM_ACTUEEL","TotalStudents"
"B Algemene Cultuurwetenschappen","477"
"B Theologie","386"
"B Communicatie- en Informatiewetenschappen","2099"
"B Wijsbegeerte","590"
"B Liberal Arts and Sciences","1264"
"B Religie in Samenleving en Cultuur","35"
"B Internationaal en Europees Recht","192"
"B Bedrijfseconomie","9520"
"B Fiscaal Recht","1477"
"B Economie en Bedrijfseconomie","1440"
"B Global Law","645"
"B International Business Administration","3324"
"B Ondernemingsrecht","488"
"B Economie","827"
"B Rechtsgeleerdheid","5112"
"B Fiscale Economie","1366"
"B Economie en Informatica","236"
"B Econometrie en Operationele Research","1609"
"B Bestuurskunde","1040"
"B Organisatiewetenschappen","2058"
"B Psychologie","5014"
"B Personeelwetenschappen","1448"
"B Sociologie","690"
"B Vrijetijdwetenschappen","2"
